code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
1301,2018/03,106297000000.0,29243000000.0,28828000000.0,22218000000.0,19384000000.0,19800000000.0,2678.89,27.2,3201000000.0,-1179000000.0,255000000.0,,4977000000.0,1.26,254783000000.0,4066000000.0,4437000000.0,3211000000.0,304.28,11.12,3.02,60.0,630000000.0,149000000.0,19.62,24.26,2.4,極洋
1332,2018/03,482233000000.0,157106000000.0,123305000000.0,71130000000.0,115058000000.0,88807000000.0,442.13,28.6,28325000000.0,-21540000000.0,-8156000000.0,-28025000000.0,24318000000.0,4.18,677293000000.0,23240000000.0,24583000000.0,17234000000.0,55.33,12.51,3.57,8.0,2337000000.0,5000000.0,13.56,13.59,1.9,日本水産
1333,2018/03,516607000000.0,140049000000.0,107169000000.0,47523000000.0,138199000000.0,127838000000.0,2193.78,22.3,29737000000.0,-14975000000.0,-13314000000.0,-19864000000.0,15187000000.0,3.24,918820000000.0,24497000000.0,27917000000.0,16102000000.0,305.94,13.95,3.12,40.0,2368000000.0,12000000.0,14.71,14.78,1.9,マルハニチロ
1352,2018/03,33471000000.0,6480000000.0,5860000000.0,2157000000.0,3820000000.0,10952000000.0,710.55,17.8,2224000000.0,44000000.0,-2351000000.0,-491000000.0,1392000000.0,3.01,73928000000.0,837000000.0,887000000.0,424000000.0,50.63,7.13,1.27,20.0,167000000.0,,39.39,39.39,2.8,ホウスイ
1376,2018/05,44995000000.0,18722946000.0,18065288000.0,14831844000.0,,,1594.79,41.6,1516086000.0,-658586000.0,-307790000.0,-645043000.0,4911125000.0,2.57,59102794000.0,1747306000.0,1891374000.0,978582000.0,83.35,5.23,2.17,26.0,305262000.0,1546000.0,31.19,31.35,1.7,カネコ種苗
1377,2018/05,120868000000.0,99654000000.0,96278000000.0,76474000000.0,3636000000.0,1261000000.0,2210.79,82.3,4617000000.0,-4909000000.0,-646000000.0,-5404000000.0,13304000000.0,7.4,62412000000.0,7553000000.0,7880000000.0,5767000000.0,128.15,5.8,4.77,30.0,1260000000.0,8000000.0,21.85,21.99,1.4,サカタのタネ
1379,2018/03,100138000000.0,52500000000.0,51411000000.0,42326000000.0,20701000000.0,11703000000.0,1630.9,52.4,9938000000.0,-9028000000.0,1447000000.0,-7865000000.0,7788000000.0,14.85,66907000000.0,3181000000.0,4033000000.0,2418000000.0,75.19,4.61,2.41,60.0,1927000000.0,1000000.0,79.69,79.74,3.7,ホクト
1380,2018/03,5036000000.0,1573955000.0,1536711000.0,274959000.0,1026939000.0,1279097000.0,377.5,31.3,334753000.0,-953223000.0,423867000.0,-940872000.0,624482000.0,6.09,5498830000.0,91460000.0,128914000.0,85460000.0,20.5,5.43,1.7,5.0,20855000.0,1259000.0,24.4,25.88,1.4,秋川牧園
1381,2018/06,15360000000.0,12444000000.0,12373000000.0,11493000000.0,,,2215.85,81.0,2336000000.0,-783000000.0,-253000000.0,-841000000.0,6714000000.0,12.06,19369000000.0,2991000000.0,3086000000.0,2131000000.0,379.46,17.12,13.87,75.0,252000000.0,,11.83,11.83,3.7,アクシーズ
1382,2018/06,813000000.0,395464000.0,395289000.0,-457978000.0,,35732000.0,519.12,48.6,-76484000.0,-13373000.0,-13085000.0,-12041000.0,197097000.0,-1.98,3870217000.0,-63629000.0,-59326000.0,-64318000.0,-84.43,,,,11000.0,66000.0,,,0.0,ホーブ
1383,2018/10,3711252000.0,1340236000.0,1151770000.0,574894000.0,500000000.0,689783000.0,906.33,31.0,157830000.0,-185307000.0,151656000.0,-194089000.0,508068000.0,3.36,4698508000.0,13641000.0,29277000.0,29212000.0,23.01,2.54,0.79,10.0,12697000.0,88000.0,43.47,43.77,1.0,ベルグアース
1384,2018/03,14963424000.0,8871102000.0,8733509000.0,6924294000.0,130000000.0,1984395000.0,1048.72,59.3,1113702000.0,-341474000.0,-389225000.0,-835617000.0,3135528000.0,12.21,9119209000.0,976621000.0,1015183000.0,646547000.0,76.43,7.29,4.32,15.0,126885000.0,,19.63,,1.5,ホクリヨウ
1400,2018/12,3147000000.0,2796768000.0,2437566000.0,-471745000.0,2600000.0,,196.31,77.5,-939387000.0,86824000.0,759411000.0,7776000.0,635259000.0,-31.64,2968591000.0,-5464000.0,-16543000.0,-48300000.0,-4.07,,,,,,,,,ルーデン・ホールディングス
1401,2018/05,2850000000.0,1835902000.0,1778232000.0,1099137000.0,,144816000.0,252.03,64.3,41840000.0,-60237000.0,-91847000.0,-39891000.0,761521000.0,1.39,3017440000.0,311946000.0,384376000.0,285000000.0,39.18,15.54,10.0,,,,,0.0,,エムビーエス
1407,2018/08,73796000000.0,15929000000.0,15879000000.0,14673000000.0,11255000000.0,30437000000.0,629.05,21.6,5225000000.0,706000000.0,3465000000.0,-473000000.0,35694000000.0,9.95,52509000000.0,4974000000.0,4557000000.0,2667000000.0,105.43,16.76,3.61,35.0,758000000.0,,28.42,28.42,5.9,ウエストホールディングス
1413,2018/12,64288000000.0,20383200000.0,17573302000.0,19016892000.0,2440000000.0,10632800000.0,1399.83,27.4,4592914000.0,-777261000.0,-3915943000.0,-2297295000.0,9672863000.0,4.17,110259640000.0,4403057000.0,4386174000.0,2303254000.0,183.13,13.08,3.58,90.0,1006144000.0,141000.0,43.68,43.69,6.7,ヒノキヤグループ
1414,2018/06,90976000000.0,74096000000.0,74002000000.0,36740000000.0,,,1376.49,81.4,1734000000.0,-2063000000.0,-3147000000.0,-564000000.0,14594000000.0,2.91,59682000000.0,10781000000.0,11187000000.0,7301000000.0,135.63,9.85,8.03,62.5,3068000000.0,1000000.0,42.02,42.04,4.7,ショーボンドホールディングス
