code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
4082,2021/03,56256845000.0,30784018000.0,29679412000.0,27801120000.0,1500000000.0,16760093000.0,1244.13,53.7,5658807000.0,-6448959000.0,2485678000.0,-7015502000.0,10561167000.0,24.11,23465922000.0,2015782000.0,2131584000.0,1235393000.0,50.91,4.09,2.2,18.0,436675000.0,41000.0,35.35,35.35,1.5,第一稀元素化学工業
4088,2021/03,926821000000.0,372389000000.0,357797000000.0,244794000000.0,56636000000.0,250876000000.0,1584.86,38.6,76601000000.0,-52699000000.0,-20889000000.0,-50316000000.0,45983000000.0,9.5,806630000000.0,51231000000.0,,27367000000.0,120.97,7.65,2.95,44.0,10463000000.0,7834000000.0,38.23,66.86,2.9,エア・ウォーター
4091,2021/03,1836294000000.0,543900000000.0,513164000000.0,422838000000.0,131721000000.0,780895000000.0,1185.82,27.9,149231000000.0,-59686000000.0,-103159000000.0,-60075000000.0,91058000000.0,18.24,818238000000.0,88846000000.0,,55214000000.0,127.59,10.76,3.01,30.0,12121000000.0,5000000.0,21.95,21.96,2.8,日本酸素ホールディングス
4092,2021/03,70196000000.0,39075000000.0,35365000000.0,27693000000.0,8300000000.0,7283000000.0,4442.39,55.7,5216000000.0,-3539000000.0,-1024000000.0,-4274000000.0,9962000000.0,15.06,34642000000.0,2783000000.0,2315000000.0,2182000000.0,248.07,5.58,3.11,70.0,615000000.0,,28.19,,1.6,日本化学工業
4093,2021/03,29527958000.0,16920229000.0,15179825000.0,11886183000.0,3200000000.0,221680000.0,2198.47,51.6,1210542000.0,-568922000.0,-509297000.0,-587273000.0,7862804000.0,4.06,29826010000.0,1189444000.0,1290548000.0,738162000.0,105.73,4.84,2.5,45.0,314939000.0,87087000.0,42.67,54.46,2.1,東邦アセチレン
4094,2021/03,46342000000.0,39540774000.0,36055471000.0,34353936000.0,376000000.0,,1972.11,85.3,3492656000.0,-749236000.0,-595778000.0,-756533000.0,15969731000.0,17.78,19642000000.0,2388292000.0,2601000000.0,1843000000.0,91.92,4.66,3.98,28.0,582424000.0,55360000.0,31.6,34.61,1.5,日本化学産業
4095,2021/03,220210000000.0,176667000000.0,142025000000.0,144750000000.0,,560000000.0,1288.0,68.8,16212000000.0,-7263000000.0,-8106000000.0,-4908000000.0,57108000000.0,16.23,99918000000.0,10681000000.0,14197000000.0,9999000000.0,84.75,6.6,4.54,26.0,2959000000.0,1381000000.0,29.59,43.4,2.1,日本パーカライジング
4097,2021/03,92410126000.0,63412166000.0,58268996000.0,52772452000.0,1325000000.0,3144512000.0,1137.77,67.9,4961437000.0,-3575378000.0,-988087000.0,-4011733000.0,21156211000.0,6.48,76553967000.0,4189830000.0,4771865000.0,3519194000.0,63.75,5.6,3.81,16.0,883270000.0,109000.0,25.1,25.1,1.4,高圧ガス工業
4098,2021/03,15704000000.0,6442000000.0,5866000000.0,2053000000.0,2650000000.0,1171000000.0,2012.31,38.6,-149000000.0,-770000000.0,597000000.0,-731000000.0,576000000.0,-2.37,6284000000.0,-64000000.0,-150000000.0,-178000000.0,-59.14,,,10.0,90000000.0,,,,0.5,チタン工業
4099,2021/03,107344000000.0,76566000000.0,69512000000.0,57140000000.0,2530000000.0,10957000000.0,1360.23,70.5,7411000000.0,-2999000000.0,89000000.0,-3618000000.0,37207000000.0,14.94,49590000000.0,7401000000.0,7997000000.0,5760000000.0,103.26,7.61,5.37,24.0,1354000000.0,1605000000.0,23.51,51.37,1.8,四国化成工業
4100,2021/03,41783000000.0,9375000000.0,7083000000.0,-3224000000.0,9372000000.0,10070000000.0,1411.51,19.5,612000000.0,-1219000000.0,1416000000.0,-1025000000.0,6492000000.0,2.11,29024000000.0,11000000.0,-600000000.0,-4142000000.0,-718.64,,,,,1000000.0,,,,戸田工業
4102,2021/03,16596000000.0,9808814000.0,6783112000.0,5645987000.0,425371000.0,1427830000.0,4232.12,56.5,1075000000.0,-431000000.0,-306000000.0,-366247000.0,3035229000.0,9.91,10844000000.0,151834000.0,306000000.0,179000000.0,79.69,1.91,1.08,30.0,67640000.0,78837000.0,37.79,81.83,0.8,丸尾カルシウム
4107,2020/12,31069000000.0,25680000000.0,25916000000.0,18505000000.0,600000000.0,,5036.52,82.7,2384000000.0,-2610000000.0,-424000000.0,-2609000000.0,9722000000.0,14.14,16859000000.0,2185000000.0,2137000000.0,1343000000.0,263.37,5.23,4.32,90.0,407000000.0,1000000.0,30.31,30.38,1.8,伊勢化学工業
