code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
1301,2019/03,114673000000.0,31996000000.0,31346000000.0,24618000000.0,24469000000.0,23193000000.0,2941.17,27.7,-4118000000.0,-2494000000.0,5958000000.0,,4621000000.0,-1.61,256151000000.0,3831000000.0,4434000000.0,2914000000.0,269.56,9.16,2.54,70.0,649000000.0,,22.27,22.27,2.5,極洋
1332,2019/03,477913000000.0,166158000000.0,135960000000.0,83988000000.0,104078000000.0,86979000000.0,470.28,30.6,24693000000.0,-16803000000.0,-15956000000.0,-22997000000.0,16165000000.0,3.47,712111000000.0,21685000000.0,25358000000.0,15379000000.0,49.41,10.51,3.22,8.0,2492000000.0,202000000.0,16.2,17.52,1.8,日本水産
1333,2019/03,520318000000.0,150379000000.0,121739000000.0,62113000000.0,126186000000.0,137221000000.0,2381.94,24.1,16187000000.0,-11854000000.0,-7863000000.0,-17425000000.0,11575000000.0,1.75,922468000000.0,21758000000.0,25233000000.0,16695000000.0,317.23,13.32,3.21,40.0,2105000000.0,15000000.0,12.61,12.7,1.7,マルハニチロ
1352,2019/03,41689000000.0,6720000000.0,6029000000.0,2325000000.0,3000000000.0,17964000000.0,727.76,14.6,1281000000.0,-6086000000.0,5612000000.0,-7207000000.0,2199000000.0,1.67,76880000000.0,651000000.0,524000000.0,335000000.0,40.01,5.5,0.8,20.0,167000000.0,,49.85,49.85,2.8,ホウスイ
1376,2019/05,45526315000.0,19619072000.0,19042997000.0,15810824000.0,,,1671.22,43.1,892447000.0,-869305000.0,-362915000.0,-683706000.0,4573428000.0,1.52,58592669000.0,1785707000.0,1899100000.0,1284215000.0,109.39,6.55,2.82,28.0,305235000.0,1324000.0,23.77,23.87,1.7,カネコ種苗
1377,2019/05,122425000000.0,100883000000.0,100078000000.0,81755000000.0,3168000000.0,1975000000.0,2257.98,82.3,5532000000.0,-3289000000.0,-3183000000.0,-6129000000.0,12173000000.0,8.82,62746000000.0,7717000000.0,8331000000.0,6856000000.0,152.68,6.81,5.6,33.0,1575000000.0,1587000000.0,22.97,46.12,1.5,サカタのタネ
1379,2019/03,103606000000.0,52030000000.0,51630000000.0,43529000000.0,10923000000.0,15494000000.0,1642.22,50.2,9572000000.0,-10305000000.0,1194000000.0,-10297000000.0,8329000000.0,13.64,70183000000.0,3503000000.0,4610000000.0,3188000000.0,99.84,6.13,3.08,60.0,1928000000.0,1000000000.0,60.48,91.84,3.7,ホクト
1380,2019/03,5092000000.0,1696482000.0,1650983000.0,389272000.0,1046258000.0,1150179000.0,406.85,33.3,473000000.0,-389000000.0,-136000000.0,-395019000.0,572569000.0,8.41,5623000000.0,98000000.0,130000000.0,135000000.0,32.38,7.96,2.65,5.0,20845000.0,41000.0,15.44,15.47,1.3,秋川牧園
1381,2019/06,16426000000.0,13815000000.0,13759000000.0,12880000000.0,,,2459.82,84.1,2390000000.0,-2150000000.0,-420000000.0,-1768000000.0,6533000000.0,12.2,19586000000.0,2431000000.0,2560000000.0,1807000000.0,321.77,13.08,11.0,80.0,421000000.0,,23.3,23.3,3.4,アクシーズ
1382,2019/06,1030000000.0,439777000.0,439921000.0,-413344000.0,100000000.0,22724000.0,577.3,42.7,12918000.0,-4895000.0,86987000.0,-8685000.0,292107000.0,0.36,3591228000.0,46258000.0,49207000.0,44633000.0,58.59,10.15,4.33,,3000.0,,0.01,0.01,0.0,ホーブ
1383,2019/10,3715788000.0,1337675000.0,1135200000.0,558430000.0,400000000.0,688865000.0,893.83,30.5,257081000.0,-210493000.0,-66620000.0,-103315000.0,489299000.0,5.26,4885559000.0,72684000.0,31912000.0,-3767000.0,-2.97,,,10.0,12697000.0,105000.0,,,1.0,ベルグアース
1384,2019/03,14872000000.0,8791017000.0,8691633000.0,6882418000.0,,3072463000.0,1039.25,59.1,545207000.0,-2882837000.0,1126880000.0,-2824715000.0,1924778000.0,4.27,12763990000.0,153841000.0,221820000.0,85009000.0,10.05,0.97,0.57,10.0,126885000.0,,149.26,,1.0,ホクリヨウ
1400,2019/12,3255164000.0,2811065000.0,2427936000.0,-504397000.0,2600000.0,18183000.0,194.67,74.6,771595000.0,140194000.0,22960000.0,-208000.0,1570008000.0,21.45,3598007000.0,13786000.0,-5396000.0,-32652000.0,-2.62,,,,,,,,,ルーデン・ホールディングス
1401,2019/05,3002587000.0,2097481000.0,2081767000.0,1400705000.0,,127214000.0,287.67,69.4,215699000.0,-106722000.0,-85897000.0,-77878000.0,785332000.0,6.46,3340619000.0,313050000.0,381470000.0,301568000.0,41.44,14.39,10.04,,,,,0.0,,エムビーエス
1407,2019/08,82162000000.0,17584000000.0,17627000000.0,17420000000.0,14802000000.0,34853000000.0,552.68,21.4,-7436000000.0,-1038000000.0,5453000000.0,-454000000.0,32672000000.0,-11.64,63904000000.0,5864000000.0,5425000000.0,3632000000.0,111.23,20.67,4.42,34.62,885000000.0,1000000000.0,24.37,51.9,6.7,ウエストホールディングス
1413,2019/12,66937844000.0,22503230000.0,18856471000.0,20243825000.0,3504000000.0,10160000000.0,1494.76,28.1,4304887000.0,-2553810000.0,-1537722000.0,-3119335000.0,9850351000.0,3.66,117687355000.0,6269626000.0,6231239000.0,2360174000.0,187.37,12.53,3.53,90.0,1133241000.0,84000.0,48.02,48.02,6.2,ヒノキヤグループ
1414,2019/06,94595000000.0,78108000000.0,78716000000.0,41455000000.0,,,1450.28,82.5,4550000000.0,-5572000000.0,-3312000000.0,-842000000.0,10256000000.0,7.48,60824000000.0,11727000000.0,12165000000.0,8080000000.0,150.11,10.35,8.54,67.5,3364000000.0,2000000.0,41.63,41.66,4.8,ショーボンドホールディングス
1417,2019/03,331462000000.0,199559000000.0,193163000000.0,124287000000.0,3602000000.0,,1933.82,59.3,6491000000.0,-13523000000.0,-1928000000.0,-16959000000.0,35657000000.0,1.73,375911000000.0,20699000000.0,21992000000.0,25711000000.0,295.33,13.09,7.76,40.0,3185000000.0,4000000.0,12.39,12.4,2.2,ミライト・ホールディングス
1418,2019/02,10550512000.0,3955131000.0,3918169000.0,401976000.0,650000000.0,966101000.0,203.33,37.5,134034000.0,332976000.0,-425492000.0,-130839000.0,3038653000.0,0.69,19387178000.0,185485000.0,151667000.0,-74246000.0,-3.83,,,4.0,80041000.0,,,,1.9,インターライフホールディングス
