code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
1301,2020/03,111184000000.0,32593000000.0,32396000000.0,25895000000.0,25594000000.0,19124000000.0,3046.12,29.4,9410000000.0,-2931000000.0,-4817000000.0,,6313000000.0,3.58,262519000000.0,2918000000.0,3608000000.0,2037000000.0,188.51,6.23,1.83,70.0,760000000.0,227000000.0,37.31,48.45,2.3,極洋
1332,2020/03,491533000000.0,172300000000.0,148069000000.0,96237000000.0,120877000000.0,100361000000.0,492.22,31.2,18786000000.0,-29446000000.0,25942000000.0,-28591000000.0,31647000000.0,2.72,690016000000.0,22834000000.0,25807000000.0,14768000000.0,47.46,9.64,3.0,8.5,2492000000.0,2000000.0,16.87,16.89,1.8,日本水産
1333,2020/03,528063000000.0,158978000000.0,132747000000.0,73069000000.0,122510000000.0,139204000000.0,2520.27,25.1,39178000000.0,-22445000000.0,-7132000000.0,-24132000000.0,21772000000.0,4.33,905204000000.0,17079000000.0,19901000000.0,12537000000.0,238.23,9.45,2.37,40.0,2105000000.0,5000000.0,16.79,16.83,1.6,マルハニチロ
1352,2020/03,40128000000.0,7097000000.0,6315000000.0,2612000000.0,1940000000.0,19545000000.0,760.24,15.9,2277000000.0,-3092000000.0,736000000.0,-3298000000.0,2121000000.0,2.83,80492000000.0,839000000.0,757000000.0,454000000.0,54.22,7.13,1.13,20.0,167000000.0,,36.78,36.78,2.6,ホウスイ
1375,2020/03,35199000000.0,4901000000.0,4899000000.0,10828000000.0,,22438000000.0,122.94,13.9,4891000000.0,-1994000000.0,-5053000000.0,-2379000000.0,4461000000.0,9.64,50759000000.0,6691000000.0,,4346000000.0,109.06,88.71,12.35,42.3,1685000000.0,,38.77,38.77,,雪国まいたけ
1376,2020/05,46792619000.0,20401526000.0,19731583000.0,16604614000.0,,,1748.7,43.6,589490000.0,-264954000.0,-488692000.0,-386321000.0,4411028000.0,1.01,58179890000.0,1487470000.0,1613297000.0,1122488000.0,95.95,5.5,2.4,28.0,328698000.0,105203000.0,29.28,38.66,1.6,カネコ種苗
1377,2020/05,123601000000.0,101793000000.0,104744000000.0,84935000000.0,3441000000.0,1267000000.0,2278.17,82.2,3435000000.0,-1322000000.0,-1757000000.0,-3321000000.0,11934000000.0,5.57,61667000000.0,7482000000.0,8070000000.0,6094000000.0,136.64,6.0,4.93,33.0,1473000000.0,2000000.0,24.17,24.2,1.5,サカタのタネ
1379,2020/03,100602000000.0,50545000000.0,50402000000.0,43130000000.0,4437000000.0,16680000000.0,1616.74,50.2,10778000000.0,-2896000000.0,-4837000000.0,-2726000000.0,11400000000.0,15.13,71220000000.0,3923000000.0,4187000000.0,1531000000.0,48.57,3.03,1.52,60.0,1900000000.0,876000000.0,124.1,181.32,3.7,ホクト
1380,2020/03,5082363000.0,1733376000.0,1701972000.0,440261000.0,1048378000.0,1196795000.0,415.56,34.1,480329000.0,-456295000.0,22006000.0,-458478000.0,618608000.0,8.3,5790005000.0,94446000.0,121193000.0,71834000.0,17.23,4.15,1.41,5.0,20845000.0,,29.02,29.02,1.2,秋川牧園
1381,2020/06,17956000000.0,15394000000.0,15283000000.0,14404000000.0,,,2741.17,85.7,2757000000.0,-1065000000.0,-448000000.0,-1122000000.0,7776000000.0,13.95,19770000000.0,2736000000.0,2826000000.0,1973000000.0,351.33,12.82,10.99,85.0,449000000.0,,22.76,22.76,3.3,アクシーズ
