code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
1301,2017/03,97386000000.0,25391000000.0,25301000000.0,19637000000.0,19359000000.0,18775000000.0,2378.04,25.6,601000000.0,-1998000000.0,105000000.0,,2572000000.0,0.25,236561000000.0,3723000000.0,3709000000.0,2422000000.0,230.6,9.7,2.49,60.0,525000000.0,1000000.0,21.68,21.72,2.7,極洋
1332,2017/03,451876000000.0,141205000000.0,108163000000.0,56666000000.0,138440000000.0,69309000000.0,388.37,26.8,30179000000.0,-7445000000.0,-11517000000.0,-24462000000.0,25181000000.0,4.75,635953000000.0,22646000000.0,24884000000.0,14216000000.0,48.02,11.75,3.15,6.0,1608000000.0,3000000.0,11.31,11.33,1.6,日本水産
1333,2017/03,501303000000.0,122820000000.0,93511000000.0,33789000000.0,149036000000.0,123172000000.0,1912.52,20.1,25969000000.0,-11097000000.0,-13618000000.0,-14462000000.0,13327000000.0,2.97,873295000000.0,26308000000.0,27874000000.0,15446000000.0,293.44,15.34,3.08,45.0,1579000000.0,16000000.0,10.22,10.33,2.5,マルハニチロ
1352,2017/03,33620000000.0,6154000000.0,5604000000.0,1900000000.0,5000000000.0,11474000000.0,679.71,16.9,1604000000.0,-4484000000.0,2886000000.0,-4262000000.0,1475000000.0,2.17,73761000000.0,799000000.0,850000000.0,706000000.0,84.31,12.4,2.1,20.0,167000000.0,,23.65,23.65,2.9,ホウスイ
1376,2017/05,43369085000.0,17686019000.0,17393515000.0,14158524000.0,,,1506.34,40.8,1705135000.0,-27582000.0,-1264407000.0,-187809000.0,4369089000.0,2.95,57848330000.0,2015624000.0,2116373000.0,1489443000.0,126.86,8.42,3.43,26.0,317016000.0,513000.0,21.28,21.32,1.8,カネコ種苗
1377,2017/05,116169000000.0,94093000000.0,91780000000.0,71968000000.0,2914000000.0,1278000000.0,2087.3,80.9,7613000000.0,-2901000000.0,-2016000000.0,-2435000000.0,14134000000.0,12.31,61844000000.0,7702000000.0,8250000000.0,6112000000.0,135.82,6.51,5.26,28.0,1125000000.0,4000000.0,18.41,18.47,1.4,サカタのタネ
1379,2017/03,94738000000.0,51736000000.0,50941000000.0,41835000000.0,16669000000.0,12538000000.0,1610.81,54.6,8000000000.0,-14947000000.0,7779000000.0,-14869000000.0,5473000000.0,12.67,63119000000.0,3430000000.0,4379000000.0,2828000000.0,88.14,5.47,2.99,60.0,1923000000.0,1000000.0,68.0,68.03,3.7,ホクト
1380,2017/03,4482000000.0,1499735000.0,1473367000.0,210354000.0,961171000.0,891201000.0,359.55,33.5,413578000.0,-539139000.0,85483000.0,-506130000.0,819083000.0,7.66,5399241000.0,137587000.0,142111000.0,99733000.0,23.91,6.65,2.23,5.0,16685000.0,197000.0,16.73,16.93,1.4,秋川牧園
1381,2017/06,13777000000.0,10575000000.0,10494000000.0,9614000000.0,,,1882.85,76.8,2581000000.0,-560000000.0,-196000000.0,-610000000.0,5414000000.0,13.73,18802000000.0,2964000000.0,3058000000.0,1960000000.0,349.0,18.54,14.23,45.0,196000000.0,,10.0,10.0,2.6,アクシーズ
1382,2017/06,821248000.0,459874000.0,459674000.0,-393659000.0,,48740000.0,603.62,56.0,-165676000.0,-48547000.0,61647000.0,-45455000.0,300040000.0,-4.45,3722630000.0,-183269000.0,-177013000.0,-409493000.0,-537.47,,,,24000.0,76000.0,,,0.0,ホーブ
1383,2017/10,3640818000.0,1329123000.0,1131163000.0,558379000.0,470000000.0,613540000.0,891.57,31.1,203516000.0,-106065000.0,-99544000.0,-109548000.0,419659000.0,4.4,4623167000.0,-59175000.0,-71410000.0,-69178000.0,-54.48,,,10.0,12697000.0,,,,0.9,ベルグアース
1384,2017/08,14042581000.0,8333390000.0,8213846000.0,6404631000.0,130000000.0,2228508000.0,985.15,59.3,2197747000.0,-2346466000.0,-48276000.0,-2323220000.0,2752525000.0,13.75,15982161000.0,1519478000.0,1691612000.0,1420469000.0,167.92,17.05,10.12,15.0,118426000.0,,8.34,,1.7,ホクリヨウ
1400,2017/12,2408507000.0,2033468000.0,1726991000.0,-423444000.0,,109127000.0,166.77,71.7,-57544000.0,19353000.0,49725000.0,-32572000.0,728411000.0,-2.44,2355196000.0,-51488000.0,-42355000.0,-60056000.0,-5.93,,,,,,,,,ルーデン・ホールディングス
1401,2017/05,2803491000.0,1558529000.0,1493046000.0,813950000.0,,228088000.0,213.9,55.5,492961000.0,-112294000.0,-91324000.0,-100180000.0,871759000.0,18.53,2660864000.0,250544000.0,294682000.0,207494000.0,28.52,13.33,7.4,,,,,0.0,,エムビーエス
1407,2017/08,64483000000.0,14023000000.0,13971000000.0,12765000000.0,9765000000.0,26641000000.0,553.74,21.7,-1448000000.0,-1372000000.0,474000000.0,-2288000000.0,26306000000.0,-4.42,32753000000.0,2685000000.0,2323000000.0,1507000000.0,59.58,10.76,2.34,30.0,885000000.0,,58.73,58.73,5.5,ウエストホールディングス
1413,2017/12,60160228000.0,18690120000.0,16129498000.0,17719782000.0,3868000000.0,11175633000.0,1289.18,26.9,3506776000.0,-2302532000.0,2432534000.0,-2301438000.0,9773025000.0,3.34,105007717000.0,6286642000.0,6278023000.0,3447459000.0,258.91,21.27,5.73,80.0,1018110000.0,1980000000.0,29.53,86.97,6.4,ヒノキヤグループ
1414,2017/06,84266000000.0,69243000000.0,70507000000.0,33243000000.0,,,1286.36,82.2,7484000000.0,-3793000000.0,-2606000000.0,-183000000.0,18073000000.0,14.05,53250000000.0,10160000000.0,10516000000.0,6997000000.0,129.98,10.1,8.3,52.0,2691000000.0,,38.46,38.46,4.2,ショーボンドホールディングス
1417,2017/03,216131000000.0,128837000000.0,120423000000.0,92679000000.0,710000000.0,9000000.0,1570.53,57.4,4767000000.0,-11140000000.0,10499000000.0,-3993000000.0,33169000000.0,1.68,283236000000.0,10061000000.0,10590000000.0,6437000000.0,79.81,5.19,2.98,30.0,2445000000.0,2898000000.0,37.98,83.0,1.9,ミライト・ホールディングス
